EntryNum1,FirstAuthLastName2,Year3,NumCites4,DatePulled5,Dbsource6,FullCite7,ScaleTitle8,CronAlpha9,NumItems10,Intermixed11,FirstValidation12,ItemTexts13,ScalePoints14,Instructions15,Notes16,jif17,Category18,EgoStatements19,,
1,Soldatos,2000,948,1/27/2021,Google Scholar,"Soldatos, C. R., Dikeos, D. G., & Paparrigopoulos, T. J. (2000). Athens Insomnia Scale: validation of an instrument based on ICD-10 criteria. Journal of psychosomatic research, 48(6), 555-560.",Athens Insomnia Scale,0.89,8,FALSE,FALSE,Sleep induction (time it takes you to fall asleep after turning-off the lights); Awakenings during the night; Final awakening earlier than desired; Total sleep duration; Overall quality of sleep (no matter how long you slept); Sense of well-being during the day; Functioning (physical and mental) during the day; Sleepiness during the day,4,"This scale is intended to record your own assessment of any sleep difficulty you might have experienced. Please, check (by circling the appropriate number) the items below to indicate your estimate of any difficulty, provided that it occurred at least three times per week during the last month",,2.41,Biomedical,FALSE,,
2,Cardon,2013,522,2/22/2021,Google Scholar,"Melissa S. Cardon, Denis A. Gregoire, Christopher E. Stevens, Pankaj C. Patel, (2013).
 Measuring entrepreneurial passion: Conceptual foundations and scale validation,
 Journal of Business Venturing,
 Volume 28, Issue 3 373-394",EP for Inventing,0.85,5,TRUE,TRUE,It is exciting to figure out new ways to solve unmet market needs that can be commercialized.; Searching for new ideas for products/services to offer is enjoyable to me.; I am motivated to figure out how to make existing products/services better.; Scanning the environment for new opportunities really excites me.; Inventing new solutions to problems is an important part of who I am.,5,Please indicate the extent to which you agree or disagree with each statement.,,7.59,Business,TRUE,,
3,Cardon,2013,522,2/22/2021,Google Scholar,"Melissa S. Cardon, Denis A. Gregoire, Christopher E. Stevens, Pankaj C. Patel, (2013).
 Measuring entrepreneurial passion: Conceptual foundations and scale validation,
 Journal of Business Venturing,
 Volume 28, Issue 3 373-395",EP for Founding,0.72,4,TRUE,TRUE,Establishing a new company excites me.; Owning my own company energizes me.; Nurturing a new business through its emerging success is enjoyable.; Being the founder of a business is an important part of who I am.,5,Please indicate the extent to which you agree or disagree with each statement.,,7.59,Business,TRUE,,
4,Cardon,2013,522,2/22/2021,Google Scholar,"Melissa S. Cardon, Denis A. Gregoire, Christopher E. Stevens, Pankaj C. Patel, (2013).
 Measuring entrepreneurial passion: Conceptual foundations and scale validation,
 Journal of Business Venturing,
 Volume 28, Issue 3 373-396",EP for Developing,0.77,4,TRUE,TRUE,I really like finding the right people to market my product/service to.; Assembling the right people to work for my business is exciting.; Pushing my employees and myself to make our company better motivates me.; Nurturing and growing companies is an important part of who I am.,5,Please indicate the extent to which you agree or disagree with each statement.,,7.59,Business,TRUE,,
5,Snyder,1996,2227,1/18/2021,Google Scholar,"Snyder, C. R., Sympson, S. C., Ybasco, F. C., Borders, T. F., Babyak, M. A., & Higgins, R. L. (1996). Development and validation of the State Hope Scale. Journal of Personality and Social Psychology, 70(2), 321–335. https://doi-org.libezproxy2.syr.edu/10.1037/0022-3514.70.2.321",State Hope Scale,0.93,6,FALSE,TRUE,"If I should find myself in a jam, I could think of many ways to get out of it; At the present time, I am energetically pursuing my goals; There are lots of ways around any problem that I am facing now; Right now I see myself as being pretty successful.; I can think of many ways to reach my current goals; At this time, I am meeting the goals that I have set for myself",8,"Directions: Read each item carefully. Using the scale shown below,
 please select the number that best describes how you think about yourself right now and put that number in the blank provided. Please take a
 few moments to focus on yourself and what is going on in your life at this
 moment. Once you have this ""here and now"" set, go ahead and answer
 each item according to the following scale: I = Definitely False, 2 =
 Mostly False, 3 = Somewhat False, 4 = Slightly False, 5 = Slightly True,
 6 = Somewhat True, 7 = Mostly True, and 8 = Definitely True",,5.91,Psychology,TRUE,,
6,Sherer,1982,5483,1/18/2021,Google Scholar,"Sherer M, Maddux JE, Mercandante B, Prentice-Dunn S, Jacobs B, Rogers RW. The Self-Efficacy Scale: Construction and Validation. Psychological Reports. 1982;51(2):663-671. doi:10.2466/pr0.1982.51.2.663",General Self-efficacy subscale,0.86,17,FALSE,TRUE,"When I make plans, I am certain I can make them work.; One of my problems is that I cannot get down to work when I should. ; If I cant do a job the first time. I keep trying until I can.; When I set important goals for myself, I rarely achieve them.; I give up on things before completing them. ; I avoid facing difficulties. ; If something looks too complicated, I will not even bother to try it. ; When I have something unpleasant to do, I stick to it until I finish it. ; When I decide to do something, I go right to work on it. ; When trying to learn something new, I soon give up if I am not initially successful. ; When unexpected problems occur, I don't handle them well. ; I avoid trying to learn new things when they look too difficult for me. ; Failure just makes me try harder. ; I feel insecure about my ability to do things. ; I am a self-reliant person.; I give up easily. ; I do not seem capable of dealing with most problems that come up in life.",14,NA,,1.535,Psychology,TRUE,,
7,Sherer,1982,5483,1/18/2021,Google Scholar,"Sherer M, Maddux JE, Mercandante B, Prentice-Dunn S, Jacobs B, Rogers RW. The Self-Efficacy Scale: Construction and Validation. Psychological Reports. 1982;51(2):663-671. doi:10.2466/pr0.1982.51.2.663",Social Self-efficacy subscale (,0.71,6,FALSE,TRUE,"It is difficult for me to make new friends. ; If I see someone I would like to meet, I go to that person instead of waiting for him or her to come to me.; If I meet someone interesting who is hard to make friends with. I’ll soon stop trying to make friends with that person.; When I am trying to become friends with someone who seems uninterested at first, I don't give up easily.; I do nor handle myself well in social gatherings. ; I have acquired my friends through my personal abilities at making friends.",14,NA,,1.535,Psychology,TRUE,,
8,Sullivan,1995,5764,2/22/2021,Google Scholar,"Sullivan, M. J. L., Bishop, S. R., & Pivik, J. (1995). The Pain Catastrophizing Scale: Development and validation. Psychological Assessment, 7(4), 524–532. https://doi-org.libezproxy2.syr.edu/10.1037/1040-3590.7.4.524",Pain Catastrophizing Scale Rumination,0.87,4,TRUE,TRUE,I keep thinking about how badly I want the pain to stop.; I anxiously want the pain to go away.; I can't seem to keep it out of my mind.; I keep thinking about how much it hurts.,5,"The PCS instructions asked participants to reflect on past painful experiences and to indicate the degree to which they experienced each of 13
 thoughts or feelings when experiencing pain on a 5-point scale from 0
 (not at all) to 4 (all the time)",,2.825,Biomedical,TRUE,,
9,Sullivan,1995,5764,2/22/2021,Google Scholar,"Sullivan, M. J. L., Bishop, S. R., & Pivik, J. (1995). The Pain Catastrophizing Scale: Development and validation. Psychological Assessment, 7(4), 524–532. https://doi-org.libezproxy2.syr.edu/10.1037/1040-3590.7.4.524",Pain Catastrophizing Scale Magnification,0.6,3,TRUE,TRUE,I wonder whether something serious may happen.; I become afraid that the pain may get worse.; I think of other painful experiences.,5,"The PCS instructions asked participants to reflect on past painful experiences and to indicate the degree to which they experienced each of 13
 thoughts or feelings when experiencing pain on a 5-point scale from 0
 (not at all) to 4 (all the time)",,2.825,Biomedical,TRUE,,
10,Sullivan,1995,5764,2/22/2021,Google Scholar,"Sullivan, M. J. L., Bishop, S. R., & Pivik, J. (1995). The Pain Catastrophizing Scale: Development and validation. Psychological Assessment, 7(4), 524–532. https://doi-org.libezproxy2.syr.edu/10.1037/1040-3590.7.4.524",Pain Catastrophizing Scale Helplesness,0.79,6,TRUE,TRUE,I feel I can't go on.; It's terrible and I think it's never going to get any better.; I worry all the time about whether the pain will end.; It's awful and I feel that it overwhelms me.; I feel I can't stand it any more.; There is nothing I can do to reduce the intensity of the pain.,5,"The PCS instructions asked participants to reflect on past painful experiences and to indicate the degree to which they experienced each of 13
 thoughts or feelings when experiencing pain on a 5-point scale from 0
 (not at all) to 4 (all the time)",,2.825,Biomedical,TRUE,,
